model,revision,candidate,iteration,first,baseline_seconds,candidate_seconds,max_first_error,max_second_error,baseline_c_sha256,candidate_c_sha256,compiler
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,0,baseline,0.039230000,0.037976000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,1,candidate,0.039346000,0.037864000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,2,baseline,0.039300000,0.037816000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,3,candidate,0.039372000,0.037735000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,4,baseline,0.039332000,0.037849000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,5,candidate,0.039638000,0.037854000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,6,baseline,0.039439000,0.037958000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,7,candidate,0.039155000,0.037873000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,8,baseline,0.038967000,0.037705000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,500,9,candidate,0.039275000,0.037738000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,9bc9023114c7a72edaa7309cbf95da4620ddf83f8f25d1fef6a53fbf396f137c,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,0,baseline,0.040321000,0.038650000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,1,candidate,0.040693000,0.038758000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,2,baseline,0.041094000,0.039054000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,3,candidate,0.041063000,0.039046000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,4,baseline,0.040953000,0.038468000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
