model,revision,candidate,iteration,first,baseline_seconds,candidate_seconds,max_first_error,max_second_error,baseline_c_sha256,candidate_c_sha256,compiler
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,0,baseline,0.039684000,0.039649000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,1,candidate,0.039831000,0.039724000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,2,baseline,0.039737000,0.039760000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,3,candidate,0.039887000,0.039675000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,4,baseline,0.039868000,0.039816000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,5,candidate,0.039877000,0.039783000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,6,baseline,0.039888000,0.039989000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,7,candidate,0.039931000,0.039788000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,8,baseline,0.039958000,0.039950000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,500,9,candidate,0.040012000,0.039805000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,0,baseline,0.040302000,0.037986000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,1,candidate,0.040574000,0.038079000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,2,baseline,0.039908000,0.037852000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,3,candidate,0.040221000,0.037937000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,4,baseline,0.040171000,0.037889000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,5,candidate,0.040262000,0.037949000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,6,baseline,0.040240000,0.038069000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,7,candidate,0.040305000,0.038135000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,8,baseline,0.040219000,0.038092000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,1500,9,candidate,0.040298000,0.037885000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,Apple clang version 17.0.0 (clang-1700.6.3.2)
