iteration,first,pointer_seconds,bounded_seconds,max_first_error,max_second_error
0,pointer,0.020799000,0.020413000,0,0
1,bounded,0.020567000,0.020371000,0,0
2,pointer,0.020146000,0.019977000,0,0
3,bounded,0.020523000,0.020324000,0,0
4,pointer,0.020311000,0.020120000,0,0
5,bounded,0.020524000,0.020048000,0,0
6,pointer,0.020264000,0.020400000,0,0
7,bounded,0.020154000,0.020216000,0,0
8,pointer,0.020175000,0.020328000,0,0
9,bounded,0.020318000,0.020234000,0,0
10,pointer,0.020220000,0.020413000,0,0
11,bounded,0.020251000,0.020211000,0,0
12,pointer,0.020171000,0.020394000,0,0
13,bounded,0.020218000,0.020270000,0,0
14,pointer,0.020190000,0.020268000,0,0
15,bounded,0.020222000,0.020252000,0,0
16,pointer,0.020103000,0.020297000,0,0
17,bounded,0.020286000,0.020241000,0,0
18,pointer,0.020217000,0.020311000,0,0
19,bounded,0.020328000,0.020200000,0,0
