model,system,run,seconds,artifact_bytes,ok,note
ultraface-rfb-320,joggle,0,102.2322,66872,True,
ultraface-rfb-320,joggle,1,101.4626,66872,True,
ultraface-rfb-320,joggle,2,100.9491,66872,True,
ultraface-rfb-320,joggle,3,101.457,66872,True,
ultraface-rfb-320,joggle,4,102.2892,66872,True,
ultraface-rfb-320,tvm,0,4.7206,1855952,True,
ultraface-rfb-320,tvm,1,4.4601,1855952,True,
ultraface-rfb-320,tvm,2,4.4113,1855952,True,
ultraface-rfb-320,tvm,3,4.6194,1855952,True,
ultraface-rfb-320,tvm,4,4.5159,1855952,True,
ultraface-rfb-320,onnxmlir,0,4.8604,1414944,True,
ultraface-rfb-320,onnxmlir,1,4.5,1414944,True,
ultraface-rfb-320,onnxmlir,2,4.5098,1414944,True,
ultraface-rfb-320,onnxmlir,3,4.5385,1414944,True,
ultraface-rfb-320,onnxmlir,4,4.4794,1414944,True,
