backend,iteration,seconds,checksum
joggle-c-spatial,0,0.568313000,21723a45419755d0
joggle-c-spatial,1,0.569256000,21723a45419755d0
joggle-c-spatial,2,0.573945000,21723a45419755d0
joggle-c-spatial,3,0.578016000,21723a45419755d0
joggle-c-spatial,4,0.569493000,21723a45419755d0
joggle-c-spatial,5,0.579582000,21723a45419755d0
joggle-c-spatial,6,0.575903000,21723a45419755d0
joggle-c-spatial,7,0.572491000,21723a45419755d0
joggle-c-spatial,8,0.575581000,21723a45419755d0
joggle-c-spatial,9,0.576321000,21723a45419755d0
onnxruntime,0,0.022744209,0.020345048047602177
onnxruntime,1,0.020811292,0.020345048047602177
onnxruntime,2,0.018331083,0.020345048047602177
onnxruntime,3,0.019848209,0.020345048047602177
onnxruntime,4,0.020277334,0.020345048047602177
onnxruntime,5,0.019498667,0.020345048047602177
onnxruntime,6,0.018177792,0.020345048047602177
onnxruntime,7,0.018242750,0.020345048047602177
onnxruntime,8,0.018090083,0.020345048047602177
onnxruntime,9,0.021141541,0.020345048047602177
