model,variant,iteration,seconds,max_abs_error,max_abs_error_2
MobileNetV2-7,separate,0,0.995115000,2.002716064453125e-05,
MobileNetV2-7,separate,1,1.053141000,2.002716064453125e-05,
MobileNetV2-7,separate,2,1.001646000,2.002716064453125e-05,
MobileNetV2-7,separate,3,1.054195000,2.002716064453125e-05,
MobileNetV2-7,separate,4,1.054086000,2.002716064453125e-05,
MobileNetV2-7,separate,5,1.032630000,2.002716064453125e-05,
MobileNetV2-7,separate,6,1.020021000,2.002716064453125e-05,
MobileNetV2-7,separate,7,1.027604000,2.002716064453125e-05,
MobileNetV2-7,separate,8,1.062990000,2.002716064453125e-05,
MobileNetV2-7,separate,9,1.024738000,2.002716064453125e-05,
MobileNetV2-7,lto,0,0.388541000,2.002716064453125e-05,
MobileNetV2-7,lto,1,0.388843000,2.002716064453125e-05,
MobileNetV2-7,lto,2,0.375609000,2.002716064453125e-05,
MobileNetV2-7,lto,3,0.375901000,2.002716064453125e-05,
MobileNetV2-7,lto,4,0.351629000,2.002716064453125e-05,
MobileNetV2-7,lto,5,0.316030000,2.002716064453125e-05,
MobileNetV2-7,lto,6,0.295830000,2.002716064453125e-05,
MobileNetV2-7,lto,7,0.298195000,2.002716064453125e-05,
MobileNetV2-7,lto,8,0.296648000,2.002716064453125e-05,
MobileNetV2-7,lto,9,0.290527000,2.002716064453125e-05,
ResNet18-v1-7,separate,0,2.975872000,5.0067901611328125e-06,
ResNet18-v1-7,separate,1,2.423247000,5.0067901611328125e-06,
ResNet18-v1-7,separate,2,1.955363000,5.0067901611328125e-06,
ResNet18-v1-7,separate,3,2.021038000,5.0067901611328125e-06,
ResNet18-v1-7,separate,4,2.423911000,5.0067901611328125e-06,
ResNet18-v1-7,separate,5,2.450113000,5.0067901611328125e-06,
ResNet18-v1-7,separate,6,2.050213000,5.0067901611328125e-06,
ResNet18-v1-7,separate,7,1.912871000,5.0067901611328125e-06,
ResNet18-v1-7,separate,8,2.005600000,5.0067901611328125e-06,
ResNet18-v1-7,separate,9,1.784612000,5.0067901611328125e-06,
ResNet18-v1-7,lto,0,1.334290000,5.0067901611328125e-06,
ResNet18-v1-7,lto,1,1.237975000,5.0067901611328125e-06,
ResNet18-v1-7,lto,2,1.176911000,5.0067901611328125e-06,
ResNet18-v1-7,lto,3,1.230559000,5.0067901611328125e-06,
ResNet18-v1-7,lto,4,1.400779000,5.0067901611328125e-06,
ResNet18-v1-7,lto,5,1.969349000,5.0067901611328125e-06,
ResNet18-v1-7,lto,6,1.531490000,5.0067901611328125e-06,
ResNet18-v1-7,lto,7,1.459886000,5.0067901611328125e-06,
ResNet18-v1-7,lto,8,1.897770000,5.0067901611328125e-06,
ResNet18-v1-7,lto,9,2.141903000,5.0067901611328125e-06,
UltraFace-RFB-320,separate,0,0.187058000,2.9802322387695312e-07,3.5762786865234375e-07
