study,trial,position,system,seconds,checksum,metrics,validation,load1_before,load1_after
mnist,0,0,joggle,0.000722086,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,0,1,onnxruntime,0.000053885,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:30.992921436 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,1,0,onnxruntime,0.000054085,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:31.120547238 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,1,1,joggle,0.000576244,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,2,0,onnxruntime,0.000054058,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:31.246666600 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,2,1,joggle,0.000580894,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,3,0,joggle,0.000560487,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,3,1,onnxruntime,0.000054481,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:31.378879791 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,4,0,joggle,0.000807579,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,4,1,onnxruntime,0.000053228,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:31.512424338 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,5,0,onnxruntime,0.000052911,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:31.634681304 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,5,1,joggle,0.000808051,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,6,0,onnxruntime,0.000051728,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:31.781335304 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,6,1,joggle,0.000571304,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,7,0,joggle,0.000567619,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
