model,trial,position,variant,seconds,checksum,validation
mnist,0,0,base,0.001258375,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,0,1,locality,0.000383041,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,1,0,locality,0.000401583,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,1,1,base,0.001298166,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,2,0,locality,0.0003655,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,2,1,base,0.001308,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,3,0,base,0.001227667,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,3,1,locality,0.000414041,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,4,0,base,0.001248083,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,4,1,locality,0.000431209,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,5,0,locality,0.00045675,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,5,1,base,0.001311,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,6,0,locality,0.000374416,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,6,1,base,0.001301125,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,7,0,base,0.001293792,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,7,1,locality,0.000406042,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,8,0,base,0.001266583,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,8,1,locality,0.000396833,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,9,0,locality,0.00038875,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,9,1,base,0.001222291,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,10,0,locality,0.000356916,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,10,1,base,0.001250833,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,11,0,base,0.001268042,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,11,1,locality,0.000387959,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,12,0,base,0.001213292,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,12,1,locality,0.000395584,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,13,0,locality,0.000360917,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,13,1,base,0.001216708,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,14,0,locality,0.000366833,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,14,1,base,0.001201,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,15,0,base,0.001268083,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,15,1,locality,0.000360166,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,16,0,base,0.00130075,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,16,1,locality,0.000400666,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,17,0,locality,0.000410834,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,17,1,base,0.001285291,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,18,0,locality,0.000407125,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,18,1,base,0.001273166,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,19,0,base,0.001279666,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
mnist,19,1,locality,0.000384958,795987f679bea928,"max_abs_error,1.728535e-06,failed,0,threads,1,pass"
squeezenet1.1-7,0,0,base,0.176135458,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,0,1,locality,0.098143208,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,1,0,locality,0.093652333,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,1,1,base,0.177718167,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,2,0,locality,0.09303525,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,2,1,base,0.178960042,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,3,0,base,0.17568425,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,3,1,locality,0.097140583,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,4,0,base,0.177876916,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,4,1,locality,0.094577625,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,5,0,locality,0.094087959,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,5,1,base,0.177665709,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,6,0,locality,0.100310875,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,6,1,base,0.177094458,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,7,0,base,0.177855958,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,7,1,locality,0.094845417,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,8,0,base,0.180508542,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,8,1,locality,0.094918,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,9,0,locality,0.094004917,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,9,1,base,0.178757791,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,10,0,locality,0.094639791,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,10,1,base,0.181193167,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,11,0,base,0.179406666,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,11,1,locality,0.099243042,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,12,0,base,0.179581083,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,12,1,locality,0.094918916,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,13,0,locality,0.092740625,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,13,1,base,0.180639917,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,14,0,locality,0.093599917,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
squeezenet1.1-7,14,1,base,0.178518708,8eea9aeed4eee365,"max_abs_error,4.291534e-06,failed,0,threads,1,pass"
