study,trial,position,system,seconds,checksum,metrics,validation,load1_before,load1_after
mnist,0,0,joggle,0.000509672,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.154785,1.154785
mnist,0,1,onnxruntime,0.000048170,86f651015309217a,{},"[0;93m2026-09-14 08:01:36.945346330 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.154785,1.154785
mnist,1,0,onnxruntime,0.000052108,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.078846452 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.154785,1.154785
mnist,1,1,joggle,0.000613255,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.154785,1.154785
mnist,2,0,onnxruntime,0.000050304,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.220622312 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.154785,1.142090
mnist,2,1,joggle,0.000520332,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,3,0,joggle,0.000535851,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,3,1,onnxruntime,0.000048842,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.362452675 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,4,0,joggle,0.000509111,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,4,1,onnxruntime,0.000049202,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.500559271 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,5,0,onnxruntime,0.000047960,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.636766399 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,5,1,joggle,0.000535120,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,6,0,onnxruntime,0.000049894,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.778959219 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,6,1,joggle,0.000511095,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,7,0,joggle,0.000528598,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,7,1,onnxruntime,0.000050314,86f651015309217a,{},"[0;93m2026-09-14 08:01:37.923490747 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,8,0,joggle,0.000540920,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,8,1,onnxruntime,0.000052117,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.062532290 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,9,0,onnxruntime,0.000050234,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.201816366 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,9,1,joggle,0.000516625,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,10,0,onnxruntime,0.000049232,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.341626064 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,10,1,joggle,0.000534278,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,11,0,joggle,0.000532595,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,11,1,onnxruntime,0.000051245,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.482581432 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,12,0,joggle,0.000509913,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,12,1,onnxruntime,0.000050524,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.621074270 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,13,0,onnxruntime,0.000049372,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.755053546 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
mnist,13,1,joggle,0.000523789,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.142090,1.142090
mnist,14,0,onnxruntime,0.000064621,86f651015309217a,{},"[0;93m2026-09-14 08:01:38.894816988 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.142090,1.142090
