iteration,first,baseline_seconds,candidate_seconds,max_error
0,baseline,0.108574000,0.069503000,0
1,candidate,0.108421000,0.069944000,0
2,baseline,0.108692000,0.069618000,0
3,candidate,0.108339000,0.069166000,0
4,baseline,0.107764000,0.067955000,0
5,candidate,0.108590000,0.069203000,0
6,baseline,0.108031000,0.069215000,0
7,candidate,0.108405000,0.069026000,0
8,baseline,0.108709000,0.069119000,0
9,candidate,0.107339000,0.069248000,0
10,baseline,0.105881000,0.068377000,0
11,candidate,0.108276000,0.069864000,0
12,baseline,0.108080000,0.069450000,0
13,candidate,0.109099000,0.069287000,0
14,baseline,0.108711000,0.069424000,0
15,candidate,0.106276000,0.069572000,0
16,baseline,0.106382000,0.069426000,0
17,candidate,0.109483000,0.070035000,0
18,baseline,0.108280000,0.069864000,0
19,candidate,0.114604000,0.070643000,0
20,baseline,0.119448000,0.076260000,0
21,candidate,0.118533000,0.075380000,0
22,baseline,0.127009000,0.083634000,0
23,candidate,0.140714000,0.088664000,0
24,baseline,0.152786000,0.106784000,0
25,candidate,0.163757000,0.106108000,0
26,baseline,0.185690000,0.119190000,0
27,candidate,0.206569000,0.118533000,0
28,baseline,0.216856000,0.141959000,0
29,candidate,0.242245000,0.147250000,0
30,baseline,0.245587000,0.158808000,0
31,candidate,0.251629000,0.159462000,0
32,baseline,0.286552000,0.184839000,0
33,candidate,0.244876000,0.174270000,0
34,baseline,0.250246000,0.161701000,0
35,candidate,0.234954000,0.166443000,0
36,baseline,0.206125000,0.118167000,0
37,candidate,0.186003000,0.117567000,0
38,baseline,0.185784000,0.137233000,0
39,candidate,0.185867000,0.122747000,0
