study,trial,position,system,seconds,checksum,metrics,validation,load1_before,load1_after
mobilenetv2-unfused,0,0,joggle,0.355452270,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.080078,1.080078
mobilenetv2-unfused,0,1,onnxruntime,0.010354448,9e4733fdb6a536c4,{},"[0;93m2026-09-14 11:41:45.829816510 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/VMBUS:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.080078,1.080078
mobilenetv2-unfused,1,0,onnxruntime,0.010422987,9e4733fdb6a536c4,{},"[0;93m2026-09-14 11:41:46.053617192 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/VMBUS:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.080078,1.073242
mobilenetv2-unfused,1,1,joggle,0.355188676,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.073242,1.073242
mobilenetv2-unfused,2,0,onnxruntime,0.010508948,9e4733fdb6a536c4,{},"[0;93m2026-09-14 11:41:47.712618948 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/VMBUS:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.073242,1.073242
mobilenetv2-unfused,2,1,joggle,0.357809798,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.073242,1.073242
mobilenetv2-unfused,3,0,joggle,0.355700857,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.073242,1.073242
mobilenetv2-unfused,3,1,onnxruntime,0.010286300,9e4733fdb6a536c4,{},"[0;93m2026-09-14 11:41:50.820796406 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/VMBUS:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.073242,1.073242
mobilenetv2-unfused,4,0,joggle,0.355372330,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.073242,1.066895
mobilenetv2-unfused,4,1,onnxruntime,0.010264719,9e4733fdb6a536c4,{},"[0;93m2026-09-14 11:41:52.475399461 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/VMBUS:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.066895,1.066895
