study,trial,position,system,seconds,checksum,metrics,validation,load1_before,load1_after
mobilenetv2-policy,0,0,joggle,0.102556071,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,0,1,onnxruntime,0.008669675,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:31.902323538 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,1,0,onnxruntime,0.008678739,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:32.092390166 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,1,1,joggle,0.103252317,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,2,0,onnxruntime,0.008693882,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:32.705182304 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,2,1,joggle,0.102249349,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,3,0,joggle,0.106533090,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,3,1,onnxruntime,0.008711358,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:33.739324733 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.166504
mobilenetv2-policy,4,0,joggle,0.102754889,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,4,1,onnxruntime,0.008758289,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:34.349452665 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,5,0,onnxruntime,0.008660222,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:34.539751363 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,5,1,joggle,0.102513736,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,6,0,onnxruntime,0.008697618,9e4733fdb6a536c4,{},"[0;93m2026-09-14 07:53:35.152230811 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,6,1,joggle,0.102984115,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,7,0,joggle,0.102582230,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
