variant,iteration,seconds,checksum
baseline,0,0.204731000,7.0202042339369655
baseline,1,0.205935000,7.0202042339369655
baseline,2,0.205682000,7.0202042339369655
baseline,3,0.205253000,7.0202042339369655
baseline,4,0.205645000,7.0202042339369655
baseline,5,0.205455000,7.0202042339369655
baseline,6,0.207692000,7.0202042339369655
baseline,7,0.206554000,7.0202042339369655
baseline,8,0.206706000,7.0202042339369655
baseline,9,0.206277000,7.0202042339369655
baseline,10,0.204901000,7.0202042339369655
baseline,11,0.206279000,7.0202042339369655
baseline,12,0.206695000,7.0202042339369655
baseline,13,0.206171000,7.0202042339369655
baseline,14,0.205852000,7.0202042339369655
baseline,15,0.206773000,7.0202042339369655
baseline,16,0.206192000,7.0202042339369655
baseline,17,0.205101000,7.0202042339369655
baseline,18,0.207306000,7.0202042339369655
baseline,19,0.207603000,7.0202042339369655
unroll3,0,0.204037000,7.0202042339369655
unroll3,1,0.203850000,7.0202042339369655
unroll3,2,0.203963000,7.0202042339369655
unroll3,3,0.201444000,7.0202042339369655
unroll3,4,0.202601000,7.0202042339369655
unroll3,5,0.204808000,7.0202042339369655
unroll3,6,0.206340000,7.0202042339369655
unroll3,7,0.206005000,7.0202042339369655
unroll3,8,0.204266000,7.0202042339369655
unroll3,9,0.206940000,7.0202042339369655
unroll3,10,0.222130000,7.0202042339369655
unroll3,11,0.206784000,7.0202042339369655
unroll3,12,0.205887000,7.0202042339369655
unroll3,13,0.205556000,7.0202042339369655
unroll3,14,0.206137000,7.0202042339369655
unroll3,15,0.206926000,7.0202042339369655
unroll3,16,0.206973000,7.0202042339369655
unroll3,17,0.205208000,7.0202042339369655
unroll3,18,0.204709000,7.0202042339369655
unroll3,19,0.206208000,7.0202042339369655
