model,label,format,revision,decode,infer,convert,expose,emit_c,compile_c,execute,max_abs_error,note
densenet-12,DenseNet121-12,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000076293945,official ONNX Zoo input and output; 910 result types erased before inference and reconstructed to a zero frontier; spatial implementation and external-weight C
googlenet-12,GoogLeNet-12,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000001564622,official ONNX Zoo model; LRN and inference-only Dropout with an unused mask; deterministic seed-0 input and ONNX Runtime 1.26.0 reference
mnist-8,MNIST-8,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000190734863,official ONNX Zoo input and output
mobilenetv2-7,MobileNetV2-7,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000209808350,official ONNX Zoo input and output
resnet18-v1-7,ResNet18-v1-7,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000050067902,official ONNX Zoo model with symbolic batch N explicitly instantiated as one
shufflenet-v2-12,ShuffleNetV2-12,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000085830689,official ONNX Zoo model; deterministic seed-0 input and ONNX Runtime 1.26.0 reference; Split/Concat channel-shuffle path
squeezenet1.0-13-qdq,SqueezeNet1.0-13-QDQ,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000001341105,official ONNX Zoo model; deterministic seed-0 input and ONNX Runtime 1.26.0 reference; QDQ boundaries executed
squeezenet1.1-7,SqueezeNet1.1-7,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000052452087,official ONNX Zoo model; deterministic seed-0 input and ONNX Runtime 1.26.0 reference
tflite-mobilenetv2,MobileNetV2 (TFLite),TFLite,see paper/data/tflite-linux,pass,n/a,pass,pass,pass,pass,pass,0.000001013279,"official floating-point TFLite model; strict external-weight C agrees with LiteRT, validated by its own frontend gate rather than by an ONNX Zoo frontier row"
tinyyolov2-8,TinyYOLOv2-8,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000166893005,official ONNX Zoo model; symbolic batch instantiated as one; deterministic seed-0 input and ONNX Runtime 1.26.0 reference
ultraface-rfb-320,UltraFace-RFB-320,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,0.0000003576279,official ONNX Zoo model; scores error 2.9802322e-7 and boxes error 3.5762787e-7
efficientnet-lite4-11-int8,EfficientNet-Lite4-INT8,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,fail,4.461586e-03,"official ONNX Zoo model; the C pipeline now runs end to end at revision 27b37c75 (prepare 1036 s, both variants emit and compile), and execution disagrees with the stored ONNX Runtime reference: max abs error 4.461586e-03 with 130 elements outside the 1e-4 tolerance. Both variants report the same error, so the gap is in the shared quantised path, not in the policy"
efficientnet-lite4-11-qdq,EfficientNet-Lite4-QDQ,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,pass,pass,pass,pass,7.450581e-09,"official ONNX Zoo model; executed and validated after the reference correction recorded in qdq-reference-probe.json. The pilot row said not_run because the earlier reference was produced by ONNX Runtime with graph optimisation on, which fuses the QDQ graph into an integer kernel; against the graph as written the artifact agrees to 7.45e-09."
ssd-mobilenetv1-12,SSD-MobileNetV1-12,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,not_run,not_run,not_run,not_run,n/a,official ONNX Zoo model; 6790 unknown results inferred to zero and the 386-call frontier cleared at this revision; no executed-artifact record exists
tiny-yolov3-11,TinyYOLOv3-11,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,not_run,not_run,not_run,not_run,n/a,"official ONNX Zoo model; 280 unknown results inferred to zero at this revision, so conversion completes; no executed-artifact record exists, so execution stays separate from reach"
xcit-tiny-12-p8-224-opset17,XCiT-Tiny-12/P8,ONNX,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,pass,pass,pass,not_run,not_run,not_run,not_run,n/a,"official ONNX Model Zoo XCiT; all 1333 initially unknown results inferred and the 7-call frontier cleared at this revision; C preparation exceeded its recorded timeout, so no executed-artifact record exists"
