schema,revision,model_sha256,model,decode,infer,convert,tensors,nodes,nested_graphs,unknown_before,unknown_after,source_calls_after
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,2f06e72de813a8635c9bc0397ac447a601bdbfa7df4bebc278723b958831c9bf,mnist-8,pass,pass,pass,8,12,0,0,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,c1c513582d56afceff8516c73804e484c81c6a830712ab6d682253f4a3cd042f,mobilenetv2-7,pass,pass,pass,267,155,0,154,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,1eeff551a67ae8d565ca33b572fc4b66e3ef357b0eb2863bb9ff47a918cc4088,squeezenet1.1-7,pass,pass,pass,53,66,0,65,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,4a567dd7542ef440890d57268fabf47211174c593d7a1837bd7f16a1067169e7,squeezenet1.0-13-qdq,pass,pass,pass,229,171,0,167,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,4e8f8653e7a2222b3904cc3fe8e304cd8b339ce1d05fd24688162f86fb6df52c,resnet18-v1-7,pass,pass,pass,102,69,0,68,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,583fb7fdc948435ceac9fa82efc7708701efe8382a859a3dd46526b155f5f2ae,tinyyolov2-8,pass,pass,pass,44,33,0,32,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,f715cc2d99740d22d312777e20d9de2b2ecdc250155be8fd3752ce7e8b823521,tiny-yolov3-11,pass,pass,pass,269,291,4,280,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,34cd7e60aeff28744c657de7a3dc64e872d506741de66987f3426f2b79f88017,ultraface-rfb-320,pass,pass,pass,244,242,0,240,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,b8fba5e404077d4048d27fcd1667e85e27e192eb9bf51e696c46a3acd7d21058,ssd-mobilenetv1-12,pass,pass,pass,1567,5985,8,6790,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,ea69821b4dd374ae2f33f9710dd1229ac263d0ee5b5a46ca3521f6483e1ba035,shufflenet-v2-12,pass,pass,pass,282,261,0,273,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,0294e7e88e5b3360de9b0fdc321baf9e6ef18b7f058c4536caae3b9f18ed9ed5,densenet-12,pass,pass,pass,848,910,0,909,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,c99c507058eaf41de8723408fdda7db8325cb57f0a89f2ee07a716d6e963e14e,googlenet-12,pass,pass,pass,118,143,0,143,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,2b3cbb5077262b20df565dacddecb3724c0976c35029a87e512d13aa4eff04a2,efficientnet-lite4-11-int8,pass,pass,pass,728,97,0,96,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,6837d0b19625d4aff8266d7197a7f3775afd82a8c40f9fd0283d52db4955566f,efficientnet-lite4-11-qdq,pass,pass,pass,784,539,0,538,0,0
2,27b37c75ea032dabc0ed27a8c05ba5b64ed3a79b,b5cffe4f64dbee8d1f9c74442a91611b74fd57925599ae46bccf1f7fa3e57093,xcit-tiny-12-p8-224-opset17,pass,pass,pass,358,1310,0,1333,0,0
