model,planner,build_ok,c_bytes,peak_rss_bytes,validated,validation,error
mnist-8,installed,True,11478,30736384,True,"max_abs_error,1.728535e-06,failed,0,threads,1,pass",
mnist-8,derived,True,11478,31326208,True,"max_abs_error,1.728535e-06,failed,0,threads,1,pass",
squeezenet1.1-7,installed,True,95510,43483136,True,"max_abs_error,4.291534e-06,failed,0,threads,1,pass",
squeezenet1.1-7,derived,True,95510,43909120,True,"max_abs_error,4.291534e-06,failed,0,threads,1,pass",
ultraface-rfb-320,installed,True,218047,39911424,True,"max_abs_error,2.458692e-07,failed,0,threads,1,pass",
ultraface-rfb-320,derived,True,218067,39469056,True,"max_abs_error,2.458692e-07,failed,0,threads,1,pass",
mobilenetv2-7,installed,True,197583,57163776,True,"max_abs_error,1.788139e-05,failed,0,threads,1,pass",
mobilenetv2-7,derived,True,197583,56918016,True,"max_abs_error,1.788139e-05,failed,0,threads,1,pass",
shufflenet-v2-12,installed,True,245752,44105728,True,"max_abs_error,6.198883e-06,failed,0,threads,1,pass",
shufflenet-v2-12,derived,True,245752,43417600,True,"max_abs_error,6.198883e-06,failed,0,threads,1,pass",
