model,revision,candidate,iteration,first,baseline_seconds,candidate_seconds,max_error,baseline_c_sha256,candidate_c_sha256,compiler
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,0,baseline,0.221389000,0.106141000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,1,candidate,0.220587000,0.106497000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,2,baseline,0.220401000,0.106321000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,3,candidate,0.221051000,0.106122000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,4,baseline,0.220569000,0.106368000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,5,candidate,0.221123000,0.106371000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,6,baseline,0.221360000,0.107161000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,7,candidate,0.223102000,0.107510000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,8,baseline,0.235315000,0.109448000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,9,candidate,0.223037000,0.107773000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,10,baseline,0.222130000,0.106152000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,11,candidate,0.222117000,0.106574000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,12,baseline,0.223522000,0.106831000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,13,candidate,0.221459000,0.106328000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,14,baseline,0.220877000,0.106353000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,15,candidate,0.222395000,0.105903000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,16,baseline,0.223026000,0.107501000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,17,candidate,0.221703000,0.106422000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,18,baseline,0.222770000,0.106196000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,19,candidate,0.221587000,0.107923000,0,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,Apple clang version 17.0.0 (clang-1700.6.3.2)
