model,revision,candidate,iteration,first,baseline_seconds,candidate_seconds,max_error,baseline_c_sha256,candidate_c_sha256,compiler
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,0,baseline,0.230501000,0.037736000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,1,candidate,0.230319000,0.037756000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,2,baseline,0.228785000,0.038827000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,3,candidate,0.233555000,0.038865000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,4,baseline,0.233282000,0.037335000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,5,candidate,0.230168000,0.037360000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,6,baseline,0.231438000,0.038366000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,7,candidate,0.232673000,0.038404000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,8,baseline,0.231927000,0.038215000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,9,candidate,0.232104000,0.037922000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,10,baseline,0.230142000,0.037773000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,11,candidate,0.229970000,0.037777000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,12,baseline,0.229879000,0.038470000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,13,candidate,0.230849000,0.037775000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,14,baseline,0.231427000,0.038057000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,15,candidate,0.233583000,0.038304000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,16,baseline,0.235123000,0.038015000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,17,candidate,0.233020000,0.039209000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,18,baseline,0.235714000,0.038430000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,19,candidate,0.229670000,0.038417000,0,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,Apple clang version 17.0.0 (clang-1700.6.3.2)
