model,revision,candidate,iteration,first,baseline_seconds,candidate_seconds,max_first_error,max_second_error,baseline_c_sha256,candidate_c_sha256,compiler
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,0,baseline,0.039907000,0.024766000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,1,candidate,0.040025000,0.024847000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,2,baseline,0.040098000,0.024719000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,3,candidate,0.068705000,0.025005000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,4,baseline,0.054447000,0.025199000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,5,candidate,0.040426000,0.024815000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,6,baseline,0.040339000,0.024895000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,7,candidate,0.040333000,0.024884000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,8,baseline,0.039719000,0.024920000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,9,candidate,0.040545000,0.024955000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,10,baseline,0.040488000,0.024939000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,11,candidate,0.040490000,0.024894000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,12,baseline,0.040504000,0.024876000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,13,candidate,0.040559000,0.024949000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,14,baseline,0.040550000,0.024904000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,15,candidate,0.040579000,0.024903000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,16,baseline,0.040582000,0.024895000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,17,candidate,0.040376000,0.024876000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,18,baseline,0.039164000,0.024763000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,19,candidate,0.040054000,0.024786000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,Apple clang version 17.0.0 (clang-1700.6.3.2)
