iteration,first,unqualified_seconds,proved_seconds,max_first_error,max_second_error
0,unqualified,0.019857000,0.017647000,1.1920929e-07,1.1920929e-07
1,proved,0.020065000,0.017616000,1.1920929e-07,1.1920929e-07
2,unqualified,0.020491000,0.017339000,1.1920929e-07,1.1920929e-07
3,proved,0.020227000,0.017816000,1.1920929e-07,1.1920929e-07
4,unqualified,0.019954000,0.017712000,1.1920929e-07,1.1920929e-07
5,proved,0.020061000,0.017207000,1.1920929e-07,1.1920929e-07
6,unqualified,0.020125000,0.017404000,1.1920929e-07,1.1920929e-07
7,proved,0.020764000,0.017495000,1.1920929e-07,1.1920929e-07
8,unqualified,0.020368000,0.017836000,1.1920929e-07,1.1920929e-07
9,proved,0.020595000,0.017797000,1.1920929e-07,1.1920929e-07
10,unqualified,0.020699000,0.018003000,1.1920929e-07,1.1920929e-07
11,proved,0.020547000,0.017583000,1.1920929e-07,1.1920929e-07
12,unqualified,0.020425000,0.017167000,1.1920929e-07,1.1920929e-07
13,proved,0.020530000,0.017266000,1.1920929e-07,1.1920929e-07
14,unqualified,0.020564000,0.016957000,1.1920929e-07,1.1920929e-07
15,proved,0.019701000,0.017184000,1.1920929e-07,1.1920929e-07
16,unqualified,0.019834000,0.017288000,1.1920929e-07,1.1920929e-07
17,proved,0.019967000,0.017179000,1.1920929e-07,1.1920929e-07
18,unqualified,0.019966000,0.017326000,1.1920929e-07,1.1920929e-07
19,proved,0.020133000,0.017429000,1.1920929e-07,1.1920929e-07
20,unqualified,0.020413000,0.017601000,1.1920929e-07,1.1920929e-07
21,proved,0.020735000,0.017585000,1.1920929e-07,1.1920929e-07
22,unqualified,0.020742000,0.017833000,1.1920929e-07,1.1920929e-07
23,proved,0.020570000,0.017655000,1.1920929e-07,1.1920929e-07
24,unqualified,0.020692000,0.017707000,1.1920929e-07,1.1920929e-07
25,proved,0.020619000,0.017663000,1.1920929e-07,1.1920929e-07
26,unqualified,0.020575000,0.017713000,1.1920929e-07,1.1920929e-07
27,proved,0.020559000,0.017737000,1.1920929e-07,1.1920929e-07
28,unqualified,0.020604000,0.017750000,1.1920929e-07,1.1920929e-07
29,proved,0.020807000,0.017696000,1.1920929e-07,1.1920929e-07
30,unqualified,0.020604000,0.017783000,1.1920929e-07,1.1920929e-07
31,proved,0.020617000,0.017656000,1.1920929e-07,1.1920929e-07
32,unqualified,0.020756000,0.017746000,1.1920929e-07,1.1920929e-07
33,proved,0.020625000,0.017731000,1.1920929e-07,1.1920929e-07
34,unqualified,0.020570000,0.017807000,1.1920929e-07,1.1920929e-07
35,proved,0.020652000,0.017718000,1.1920929e-07,1.1920929e-07
36,unqualified,0.020640000,0.017779000,1.1920929e-07,1.1920929e-07
37,proved,0.020663000,0.017739000,1.1920929e-07,1.1920929e-07
38,unqualified,0.020638000,0.017731000,1.1920929e-07,1.1920929e-07
39,proved,0.020611000,0.017735000,1.1920929e-07,1.1920929e-07
