backend,iteration,seconds,checksum
joggle-c-spatial,0,0.037569000,-1532.7299372255802
joggle-c-spatial,1,0.037742000,-1532.7299372255802
joggle-c-spatial,2,0.037437000,-1532.7299372255802
joggle-c-spatial,3,0.037684000,-1532.7299372255802
joggle-c-spatial,4,0.037711000,-1532.7299372255802
joggle-c-spatial,5,0.037697000,-1532.7299372255802
joggle-c-spatial,6,0.037315000,-1532.7299372255802
joggle-c-spatial,7,0.037169000,-1532.7299372255802
joggle-c-spatial,8,0.036978000,-1532.7299372255802
joggle-c-spatial,9,0.037305000,-1532.7299372255802
joggle-c-spatial-fast,0,0.036328000,-1532.7300363481045
joggle-c-spatial-fast,1,0.036679000,-1532.7300363481045
joggle-c-spatial-fast,2,0.036786000,-1532.7300363481045
joggle-c-spatial-fast,3,0.036838000,-1532.7300363481045
joggle-c-spatial-fast,4,0.036884000,-1532.7300363481045
joggle-c-spatial-fast,5,0.037495000,-1532.7300363481045
joggle-c-spatial-fast,6,0.037373000,-1532.7300363481045
joggle-c-spatial-fast,7,0.037081000,-1532.7300363481045
joggle-c-spatial-fast,8,0.037015000,-1532.7300363481045
joggle-c-spatial-fast,9,0.036949000,-1532.7300363481045
onnxruntime,0,0.001981583,-1532.730410605669
onnxruntime,1,0.001950542,-1532.730410605669
onnxruntime,2,0.002165875,-1532.730410605669
onnxruntime,3,0.001976708,-1532.730410605669
onnxruntime,4,0.001850666,-1532.730410605669
onnxruntime,5,0.001939750,-1532.730410605669
onnxruntime,6,0.001962208,-1532.730410605669
onnxruntime,7,0.001912125,-1532.730410605669
onnxruntime,8,0.001934167,-1532.730410605669
onnxruntime,9,0.001908291,-1532.730410605669
