model,variant,iteration,seconds,checksum,max_error_0,max_error_1
MobileNetV2-7,reference-loop,0,0.203369000,7.0202042339369655,,
MobileNetV2-7,reference-loop,1,0.203546000,7.0202042339369655,,
MobileNetV2-7,reference-loop,2,0.203395000,7.0202042339369655,,
MobileNetV2-7,reference-loop,3,0.200848000,7.0202042339369655,,
MobileNetV2-7,reference-loop,4,0.203688000,7.0202042339369655,,
MobileNetV2-7,reference-loop,5,0.203240000,7.0202042339369655,,
MobileNetV2-7,reference-loop,6,0.203236000,7.0202042339369655,,
MobileNetV2-7,reference-loop,7,0.203222000,7.0202042339369655,,
MobileNetV2-7,reference-loop,8,0.201119000,7.0202042339369655,,
MobileNetV2-7,reference-loop,9,0.203644000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,0,0.105383000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,1,0.105356000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,2,0.105395000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,3,0.105578000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,4,0.106077000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,5,0.105563000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,6,0.105374000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,7,0.105320000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,8,0.105565000,7.0202042339369655,,
MobileNetV2-7,spatial-loop,9,0.105637000,7.0202042339369655,,
ResNet18-v1-7,reference-loop,0,1.183058000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,1,1.206690000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,2,1.206927000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,3,1.205645000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,4,1.206865000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,5,1.206102000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,6,1.201286000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,7,1.206459000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,8,1.207520000,0.054151192307472229,,
ResNet18-v1-7,reference-loop,9,1.217426000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,0,0.386965000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,1,0.386491000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,2,0.385724000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,3,0.385231000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,4,0.384800000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,5,0.384256000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,6,0.383322000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,7,0.384454000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,8,0.384744000,0.054151192307472229,,
ResNet18-v1-7,spatial-loop,9,0.389166000,0.054151192307472229,,
TinyYOLOv2-8,reference-loop,0,2.213176000,-6392.1677056382759,,
TinyYOLOv2-8,reference-loop,1,2.288518000,-6392.1677056382759,,
