model,variant,process,iteration,seconds,checksum,max_abs_error,commit
MobileNetV2-7,canonical,a,0,0.353831000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,1,0.344348000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,2,0.342745000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,3,0.341962000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,4,0.341967000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,5,0.351328000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,6,0.375219000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,7,0.373377000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,8,0.371217000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,a,9,0.384583000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,0,0.358941000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,1,0.350791000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,2,0.331904000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,3,0.331610000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,4,0.324007000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,5,0.346951000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,6,0.351647000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,7,0.369129000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,8,0.348936000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,canonical,b,9,0.363844000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,0,0.188965000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,1,0.193429000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,2,0.203236000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,3,0.197679000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,4,0.207040000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,5,0.199544000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,6,0.195991000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,7,0.216100000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,8,0.227902000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,a,9,0.206531000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,0,0.203474000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,1,0.195497000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,2,0.191327000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,3,0.192487000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,4,0.189787000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,5,0.190889000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,6,0.190739000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,7,0.188947000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,8,0.181253000,44781c44effa5746,2.09808349609375e-05,e909ec0
MobileNetV2-7,spatial-pass,b,9,0.180660000,44781c44effa5746,2.09808349609375e-05,e909ec0
