iteration,first,baseline_seconds,candidate_seconds,max_error
0,baseline,0.250828000,0.070839000,0
1,candidate,0.251861000,0.070417000,0
2,baseline,0.250522000,0.070514000,0
3,candidate,0.251364000,0.070906000,0
4,baseline,0.250637000,0.070356000,0
5,candidate,0.251005000,0.070677000,0
6,baseline,0.250602000,0.070577000,0
7,candidate,0.262156000,0.072452000,0
8,baseline,0.254009000,0.071802000,0
9,candidate,0.250935000,0.071467000,0
10,baseline,0.259688000,0.074412000,0
11,candidate,0.260037000,0.074244000,0
12,baseline,0.259622000,0.074255000,0
13,candidate,0.259095000,0.075522000,0
14,baseline,0.253939000,0.071367000,0
15,candidate,0.253584000,0.071779000,0
16,baseline,0.258024000,0.072470000,0
17,candidate,0.252835000,0.071378000,0
18,baseline,0.258240000,0.071580000,0
19,candidate,0.256619000,0.074060000,0
