backend,iteration,seconds,checksum
joggle-c-strict,0,2.299417000,-6392.1677056382759
joggle-c-strict,1,2.369873000,-6392.1677056382759
joggle-c-strict,2,2.330341000,-6392.1677056382759
joggle-c-strict,3,2.329219000,-6392.1677056382759
joggle-c-strict,4,2.309145000,-6392.1677056382759
joggle-c-strict,5,2.266474000,-6392.1677056382759
joggle-c-strict,6,2.262527000,-6392.1677056382759
joggle-c-strict,7,2.252915000,-6392.1677056382759
joggle-c-strict,8,2.271039000,-6392.1677056382759
joggle-c-strict,9,2.270439000,-6392.1677056382759
onnxruntime,0,0.022536792,-6392.1681199728628
onnxruntime,1,0.022716083,-6392.1681199728628
onnxruntime,2,0.022539000,-6392.1681199728628
onnxruntime,3,0.024158000,-6392.1681199728628
onnxruntime,4,0.022555541,-6392.1681199728628
onnxruntime,5,0.022055917,-6392.1681199728628
onnxruntime,6,0.023352584,-6392.1681199728628
onnxruntime,7,0.024423417,-6392.1681199728628
onnxruntime,8,0.022617833,-6392.1681199728628
onnxruntime,9,0.022501375,-6392.1681199728628
