iteration,first,baseline_seconds,candidate_seconds,max_first_error,max_second_error
0,baseline,0.040659000,0.018131000,0,0
1,candidate,0.040794000,0.017980000,0,0
2,baseline,0.040606000,0.017982000,0,0
3,candidate,0.040591000,0.018239000,0,0
4,baseline,0.040484000,0.018240000,0,0
5,candidate,0.040637000,0.018038000,0,0
6,baseline,0.040626000,0.018122000,0,0
7,candidate,0.040621000,0.018028000,0,0
8,baseline,0.041437000,0.018157000,0,0
9,candidate,0.040685000,0.018128000,0,0
10,baseline,0.040527000,0.018114000,0,0
11,candidate,0.040858000,0.018604000,0,0
12,baseline,0.040682000,0.018203000,0,0
13,candidate,0.040918000,0.018034000,0,0
14,baseline,0.040514000,0.018199000,0,0
15,candidate,0.040608000,0.017972000,0,0
16,baseline,0.040614000,0.018191000,0,0
17,candidate,0.040617000,0.018064000,0,0
18,baseline,0.040748000,0.018168000,0,0
19,candidate,0.040669000,0.018010000,0,0
