model,trial,position,variant,seconds,checksum,validation
ultraface-rfb-320,0,0,base,0.039447792,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,0,1,locality,0.027163583,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,0,2,tvm,0.038008708,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,0,3,onnxmlir,0.011888958,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,0,4,ort,0.002903333,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,0,locality,0.027341125,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,1,tvm,0.037526542,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,2,onnxmlir,0.011981208,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,3,ort,0.002874875,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,1,4,base,0.03939875,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,0,tvm,0.038167,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,1,onnxmlir,0.0132605,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,2,ort,0.005434625,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,3,base,0.040230459,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,2,4,locality,0.02760825,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,3,0,onnxmlir,0.012975334,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,3,1,ort,0.003184125,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,3,2,base,0.04010325,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,3,3,locality,0.028220125,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,3,4,tvm,0.042528541,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,0,ort,0.003079125,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,1,base,0.040634,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,2,locality,0.02766025,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,3,tvm,0.038808916,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,4,4,onnxmlir,0.012980875,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,0,ort,0.003525416,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,1,onnxmlir,0.012565292,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,2,tvm,0.039322666,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,3,locality,0.027718084,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,5,4,base,0.0405465,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,0,base,0.040798084,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,1,ort,0.002906791,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,2,onnxmlir,0.013313583,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,3,tvm,0.039678083,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,6,4,locality,0.02749925,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,0,locality,0.027456334,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,1,base,0.040982667,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,2,ort,0.003217667,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,3,onnxmlir,0.014351416,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,7,4,tvm,0.039785416,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,0,tvm,0.039628333,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,1,locality,0.027678625,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,2,base,0.040889792,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,3,ort,0.00284575,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,8,4,onnxmlir,0.012616833,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,0,onnxmlir,0.012954083,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,1,tvm,0.038635,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,2,locality,0.028542292,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,3,base,0.040714875,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,9,4,ort,0.003349625,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,0,base,0.040787042,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,1,locality,0.028042958,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,2,tvm,0.039532416,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,3,onnxmlir,0.012827625,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,10,4,ort,0.003007375,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,11,0,locality,0.027735458,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,11,1,tvm,0.039646916,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,11,2,onnxmlir,0.012500417,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,11,3,ort,0.002872167,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,11,4,base,0.041090917,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,0,tvm,0.039578167,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,1,onnxmlir,0.012747792,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,2,ort,0.003245708,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,3,base,0.040947834,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,4,locality,0.028304042,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,0,onnxmlir,0.013444875,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,1,ort,0.003291958,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,2,base,0.041849916,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,3,locality,0.027390625,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,4,tvm,0.039898875,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,0,ort,0.002861583,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,1,base,0.041424666,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,2,locality,0.028640417,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,3,tvm,0.040238042,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,4,onnxmlir,0.013020833,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,0,ort,0.002966,f5a9eeae64b83657,"max_abs_error,1.192093e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,1,onnxmlir,0.012508167,97b3067db61da779,"max_abs_error,2.384186e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,2,tvm,0.03971625,58fbd28649aeba39,"max_abs_error,2.980232e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,3,locality,0.027808917,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,4,base,0.041094209,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,0,base,0.041102041,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
