study,trial,position,system,seconds,inner_iterations,checksum,validation
ultraface-same-host,0,0,joggle,0.043127875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,0,1,joggle_guard,0.0418365,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,1,0,joggle_guard,0.042494666,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,1,1,joggle,0.042387458,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,2,0,joggle_guard,0.043788083,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,2,1,joggle,0.042426958,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,3,0,joggle,0.04261625,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,3,1,joggle_guard,0.042286084,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,4,0,joggle,0.04265175,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,4,1,joggle_guard,0.04270075,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,5,0,joggle_guard,0.042448459,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,5,1,joggle,0.042648583,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,6,0,joggle_guard,0.043351125,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,6,1,joggle,0.042744667,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,7,0,joggle,0.042537875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,7,1,joggle_guard,0.04264325,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,8,0,joggle,0.042614875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,8,1,joggle_guard,0.042574458,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,9,0,joggle_guard,0.042636375,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,9,1,joggle,0.042542583,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,10,0,joggle_guard,0.042886834,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,10,1,joggle,0.042872083,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,11,0,joggle,0.043326459,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,11,1,joggle_guard,0.043236625,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,12,0,joggle,0.04353675,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,12,1,joggle_guard,0.04349975,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,13,0,joggle_guard,0.043072083,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,13,1,joggle,0.043930166,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
