study,trial,position,system,seconds,inner_iterations,checksum,validation
ultraface-locality,0,0,joggle,0.04125975,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,0,1,joggle-locality,0.023895416,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,0,2,tvm,0.036816958,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,0,3,ort,0.002884833,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,1,0,joggle-locality,0.02425225,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,1,1,tvm,0.03644025,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,1,2,ort,0.002842125,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,1,3,joggle,0.042126541,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,2,0,tvm,0.037444334,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,2,1,ort,0.002849167,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,2,2,joggle,0.04224475,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,2,3,joggle-locality,0.023048959,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,3,0,ort,0.002981292,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,3,1,joggle,0.042243208,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,3,2,joggle-locality,0.02276125,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,3,3,tvm,0.036472792,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,4,0,ort,0.002852333,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,4,1,tvm,0.03776625,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,4,2,joggle-locality,0.023551292,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,4,3,joggle,0.042251917,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,5,0,joggle,0.042340666,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,5,1,ort,0.002887417,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,5,2,tvm,0.0378245,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,5,3,joggle-locality,0.024032625,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,6,0,joggle-locality,0.02380825,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,6,1,joggle,0.042780417,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,6,2,ort,0.002912458,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,6,3,tvm,0.036661333,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,7,0,tvm,0.037426375,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,7,1,joggle-locality,0.024185125,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,7,2,joggle,0.042961375,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,7,3,ort,0.00308,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,8,0,joggle,0.042563916,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,8,1,joggle-locality,0.02337825,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,8,2,tvm,0.036684416,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,8,3,ort,0.0029595,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,9,0,joggle-locality,0.023636375,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,9,1,tvm,0.036577625,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,9,2,ort,0.002851333,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,9,3,joggle,0.042641875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,10,0,tvm,0.037978375,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,10,1,ort,0.002858125,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,10,2,joggle,0.043861333,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,10,3,joggle-locality,0.024431667,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,11,0,ort,0.002810625,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,11,1,joggle,0.043350958,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,11,2,joggle-locality,0.023759875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,11,3,tvm,0.037314958,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,12,0,ort,0.002826959,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,12,1,tvm,0.037509042,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,12,2,joggle-locality,0.023977208,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,12,3,joggle,0.043218875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,13,0,joggle,0.042564709,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,13,1,ort,0.002896333,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,13,2,tvm,0.0372465,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,13,3,joggle-locality,0.023518917,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,14,0,joggle-locality,0.024055416,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,14,1,joggle,0.043772459,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,14,2,ort,0.00287225,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,14,3,tvm,0.037723792,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,15,0,tvm,0.03703875,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,15,1,joggle-locality,0.023997916,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,15,2,joggle,0.043218667,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,15,3,ort,0.002857167,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,16,0,joggle,0.044166542,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,16,1,joggle-locality,0.024103208,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,16,2,tvm,0.037594666,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,16,3,ort,0.00290725,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,17,0,joggle-locality,0.0236,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,17,1,tvm,0.037776833,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,17,2,ort,0.002794167,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,17,3,joggle,0.043328417,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,18,0,tvm,0.039160458,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,18,1,ort,0.002913083,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,18,2,joggle,0.045366,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,18,3,joggle-locality,0.0240335,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,19,0,ort,0.002849,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-locality,19,1,joggle,0.04437725,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,19,2,joggle-locality,0.023760209,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-locality,19,3,tvm,0.037856542,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
