study,trial,position,system,seconds,inner_iterations,checksum,validation
ultraface-same-host,0,0,joggle,0.041734167,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,0,1,tvm,0.036612875,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,0,2,ort,0.002926417,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,1,0,tvm,0.036465875,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,1,1,ort,0.002880083,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,1,2,joggle,0.04289375,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,2,0,ort,0.003033292,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,2,1,joggle,0.044157375,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,2,2,tvm,0.037884208,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,3,0,ort,0.0028765,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,3,1,tvm,0.037108916,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,3,2,joggle,0.0435145,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,4,0,joggle,0.043674333,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,4,1,ort,0.002890042,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,4,2,tvm,0.038267625,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,5,0,tvm,0.038132084,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,5,1,joggle,0.043327583,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,5,2,ort,0.002883666,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,6,0,joggle,0.043390292,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,6,1,tvm,0.038237541,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,6,2,ort,0.002873917,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,7,0,tvm,0.037780125,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,7,1,ort,0.002883291,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,7,2,joggle,0.043950334,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,8,0,ort,0.002881792,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,8,1,joggle,0.044124,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,8,2,tvm,0.038443167,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,9,0,ort,0.002862458,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,9,1,tvm,0.039231167,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,9,2,joggle,0.04402025,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,10,0,joggle,0.044712875,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,10,1,ort,0.002868708,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,10,2,tvm,0.037862292,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,11,0,tvm,0.0380425,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,11,1,joggle,0.044359791,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,11,2,ort,0.002886291,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,12,0,joggle,0.04376825,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,12,1,tvm,0.038327209,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,12,2,ort,0.002884834,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,13,0,tvm,0.038178291,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,13,1,ort,0.002848334,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,13,2,joggle,0.044838167,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,14,0,ort,0.00288425,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,14,1,joggle,0.044002084,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,14,2,tvm,0.037828792,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,15,0,ort,0.002840791,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,15,1,tvm,0.038206375,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,15,2,joggle,0.044078292,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,16,0,joggle,0.043913291,1,0dc3b1bb13b2662e,"scores,max_abs_error,2.980232e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,16,1,ort,0.002866625,1,a59cc2d7b1cc1718,"scores,max_abs_error,0.000000e+00,boxes,max_abs_error,0.000000e+00,threads,1,pass"
ultraface-same-host,16,2,tvm,0.038996833,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
ultraface-same-host,17,0,tvm,0.038592417,1,056f15d711b5ef9f,"scores,max_abs_error,2.607703e-07,boxes,max_abs_error,3.576279e-07,threads,1,pass"
